category,sentence
0,113724013835626 500068609904 521744249443 495689626978 499850244711 24940 127978858509666 1701734755 435711602017 7627127 
0,7496044 113723912712042 6711671 6909551 
1,1701147238 521611275877 2037148535 1886220131 7235959 24934 7370083 465491093862 1937009524 1953706290 892350514 1954047348 24934 211295483704 28559167692432754 521611275877 121442505806739288373949809 7633012 32478973891207538 521510350945 10037034420851542962479098946254600225962032 
0,7239012 521510478181 7499624 
0,6840686 1953394532 6714229 495623498092 
1,29118836290974310 7955816 29113321671254372 495723046263 1685221239 7239014 25204 7895160 6583411 1936156771 1684956531 207050875587 7758706 
0,32199646649479778 461195538547 499850244724 1935960417 128017497350512 
0,32777976897693042 435610740077 435610740077 7697007 526783489944884770527615088281413997 33046296389645678 120265333040502 7628147 478996620133321889571171 32495402258030947 495857267312 2037411683 32480047632314982 478996620133321889571171 
1,125779969993079 110386924511606 30243645579093358 8243115018434082147 7234316346692756851 7018145789371442546 206967513795 435845427824 110442424264050 469919427683 1819042147 59493335726277214541461808 469919427683 1701080931 211329182827 431265440118 12849 495841537896 
1,111516298932077 12593 126892467187565 7234307623681814117 111550524584053 128038972186988 125848706117475 32481138620657517 107143955833187 1701147238 1819042147 111516298932077 111550524584053 1701147238 58270169382779654813792304 
0,418464558951 1953394532 1802264948 439805637747 32765890658201460 6649449 431198138979 521325014900 
1,32481100049770595 7235959 1752392035 3158065 206966894642 126875187113840 7633012 211282326371 1684956531 228559501112 1953722211 34165556188820785 495957664822 13873 32478905321485172 521510350945 521510348146 27752 1868983913 
1,128017496502901 7237495 1801807223 1701147238 530849480694321801684333 3472328296227775171 435845427824 32773625927131498 7633012 1685221239 469919427683 206983672120 25460 549665589746555642410871 110451197436780 517264797552 291771925648109498262021601896707124 
0,6649449 1907970644585140544883 8243109542031094370 28555869292556912 28259048413557351 119199945749862 28555869292556912 2000707934690495852407 7453010377922931810 495622908276 
0,133459203749235 
1,8576961130960066718427916059874802412320888 127996004758115 461229354083 7364983 1802398060 7633012 28542640894207341 461229354083 31632363007276136 822479941035593327588968124526303878990821121500156576524453358714626957578165844088 
